antecedents|consequents|antecedent support|consequent support|support|confidence|lift|representativity|leverage|conviction|zhangs_metric|jaccard|certainty|kulczynski|length
frozenset({'exerciseinducedangina=fal', 'thal=norm'})|frozenset({'class=buff'})|0.44554455445544555|0.5445544554455446|0.37623762376237624|0.8444444444444444|1.5507070707070707|1.0|0.1336143515341633|2.9278642149929275|0.6405075187969923|0.6129032258064516|0.6584541062801932|0.7676767676767676|3
frozenset({'gender=fem', 'fastingbloodsugarlt120=fal'})|frozenset({'class=buff'})|0.27722772277227725|0.5445544554455446|0.21782178217821782|0.7857142857142856|1.4428571428571426|1.0|0.06685619056955197|2.125412541254124|0.4246575342465752|0.360655737704918|0.5295031055900618|0.5928571428571427|3
frozenset({'numberofvesselscolored=0', 'fastingbloodsugarlt120=fal'})|frozenset({'class=buff'})|0.5115511551155115|0.5445544554455446|0.3795379537953795|0.7419354838709677|1.3624633431085043|1.0|0.10097049308891282|1.7648514851485146|0.5446533490011749|0.5609756097560976|0.4333800841514726|0.7194525904203324|3
frozenset({'oldpeak_cat=L', 'fastingbloodsugarlt120=fal'})|frozenset({'class=buff'})|0.37293729372937295|0.5445544554455446|0.27722772277227725|0.7433628318584071|1.3650844730490748|1.0|0.07414305787014344|1.7746671218846024|0.4265037593984961|0.43298969072164956|0.4365140438630243|0.6262268704746581|3
frozenset({'slope=up', 'fastingbloodsugarlt120=fal'})|frozenset({'class=buff'})|0.40264026402640263|0.5445544554455446|0.30033003300330036|0.7459016393442623|1.369746646795827|1.0|0.08107048328595237|1.7923985946981797|0.4518851314431425|0.4642857142857143|0.442088382038489|0.6487083954297069|3
frozenset({'thal=norm', 'fastingbloodsugarlt120=fal'})|frozenset({'class=buff'})|0.48184818481848185|0.5445544554455446|0.37623762376237624|0.7808219178082192|1.4338729763387297|1.0|0.1138450478711237|2.0779702970297027|0.5839758632249412|0.5786802030456852|0.5187611673615247|0.735865504358655|3
frozenset({'gender=fem', 'thal=norm'})|frozenset({'class=buff'})|0.2607260726072607|0.5445544554455446|0.22772277227722773|0.8734177215189874|1.6039125431530497|1.0|0.08574322778812535|3.5980198019802008|0.5093167701863354|0.3942857142857143|0.7220693450742985|0.6457997698504028|3
frozenset({'thal=norm', 'gender=male'})|frozenset({'class=buff'})|0.2871287128712871|0.5445544554455446|0.20132013201320131|0.7011494252873564|1.2875653082549634|1.0|0.044962912132797433|1.523990860624524|0.3132969034608379|0.31937172774869105|0.3438280859570215|0.535423197492163|3
frozenset({'numberofvesselscolored=0', 'maxheartrate_cat=M'})|frozenset({'class=buff'})|0.38613861386138615|0.5445544554455446|0.2871287128712871|0.7435897435897435|1.3655011655011653|1.0|0.07685521027350256|1.7762376237623754|0.43604004449388195|0.446153846153846|0.43701226309921937|0.6354312354312354|3
frozenset({'oldpeak_cat=L', 'maxheartrate_cat=M'})|frozenset({'class=buff'})|0.297029702970297|0.5445544554455446|0.2145214521452145|0.7222222222222222|1.3262626262626263|1.0|0.05277260399307257|1.6396039603960393|0.34994582881906827|0.3421052631578947|0.3900966183574878|0.5580808080808081|3
